County Name,Total Population,Median Age,White Alone,Black/African American,Hispanic or Latino,Asian Alone,Median Household Income,Per Capita Income,Persons in Poverty,Unemployment Count,Total Housing Units,Median Gross Rent,Median Home Value,state,county
"Wilson County, Tennessee",149096,40.0,124995,10464,7519,2810,89462,42978,12172,2891,58967,1268,358900,47,189
"Anderson County, Texas",58077,39.3,36996,11225,10644,385,57445,23548,7117,822,20287,972,154600,48,001
"Andrews County, Texas",18362,32.4,12484,417,10638,96,86458,39749,2177,259,6976,1345,179300,48,003
"Angelina County, Texas",86608,37.8,61095,10924,19893,828,57055,27460,13536,2365,36619,985,138600,48,005
"Aransas County, Texas",24048,51.0,19514,202,6951,419,58168,40890,4241,423,15600,1076,221500,48,007
"Archer County, Texas",8649,43.1,7956,50,745,16,69954,37873,1054,129,3910,718,157500,48,009
"Armstrong County, Texas",1912,43.9,1745,16,180,2,70417,31823,109,2,884,942,167600,48,011
"Atascosa County, Texas",49403,35.8,31643,499,32436,255,67442,27386,6837,1408,18858,977,141000,48,013
"Austin County, Texas",30406,41.0,22162,2731,8572,147,73556,36399,3593,576,13870,1046,240000,48,015
"Bailey County, Texas",6902,30.3,5499,35,4688,92,69830,29674,851,65,2456,665,112400,48,017
"Bandera County, Texas",21182,53.4,16997,202,4342,100,70965,39162,2968,656,11463,927,237300,48,019
"Bastrop County, Texas",98435,38.0,59508,6251,40570,682,80151,34079,11454,2064,36875,1195,235900,48,021
"Baylor County, Texas",3475,46.7,3071,51,390,0,52716,31392,395,17,2203,568,92100,48,023
"Bee County, Texas",30977,35.6,20148,1999,18526,196,50283,22347,4703,710,10591,985,106700,48,025
"Bell County, Texas",372821,31.7,203119,88937,97612,10801,62858,31822,52988,12681,148787,1095,196300,48,027
"Bexar County, Texas",2014059,34.2,1150364,153125,1229072,62102,67275,33963,299972,56116,792583,1212,222300,48,029
"Blanco County, Texas",11608,49.5,9384,23,2322,89,79717,46356,1122,224,6061,863,309800,48,031
"Borden County, Texas",686,36.5,601,10,52,0,80625,39276,11,5,341,-666666666,104200,48,033
"Bosque County, Texas",18404,46.1,15198,373,3613,123,63868,32990,2084,315,9317,886,151400,48,035
"Bowie County, Texas",92747,38.2,61938,23462,7521,1250,56628,30103,15117,1577,39659,900,150300,48,037
"Brazoria County, Texas",374600,36.3,218834,57108,119553,26591,91972,39891,27271,8482,142985,1333,256900,48,039
"Brazos County, Texas",234548,26.3,164847,25596,61695,13811,57562,32499,52720,5455,97310,1120,260800,48,041
"Brewster County, Texas",9454,46.1,7494,32,4304,135,47747,35516,1445,150,5923,780,200500,48,043
"Briscoe County, Texas",1290,49.7,1043,54,454,0,35446,29721,311,17,925,850,77400,48,045
"Brooks County, Texas",7059,38.3,4281,44,6314,0,30566,20308,2176,63,3665,391,80100,48,047
"Brown County, Texas",38159,41.2,31039,1325,8885,155,53792,30202,4822,680,18946,862,137900,48,049
"Burleson County, Texas",17958,44.1,13264,2171,3880,132,71745,38918,2205,306,9375,977,154700,48,051
"Burnet County, Texas",49684,44.7,40856,655,11300,268,71482,40628,3806,809,23802,1232,268300,48,053
"Caldwell County, Texas",46141,37.8,30055,2102,25412,319,66779,28742,6144,511,16517,1084,185400,48,055
"Calhoun County, Texas",20127,38.4,14063,579,10071,839,62267,33754,1826,340,10696,968,128200,48,057
"Callahan County, Texas",13869,43.5,12261,165,1481,120,63906,31856,1203,313,6508,888,129500,48,059
"Cameron County, Texas",421854,32.0,264726,2887,379591,2977,47435,21440,106182,10208,155572,855,109600,48,061
"Camp County, Texas",12543,39.0,8194,1884,3357,91,53968,28004,2689,298,5792,767,146600,48,063
"Carson County, Texas",5801,41.3,5284,69,617,8,83199,40192,432,54,2779,933,129700,48,065
"Cass County, Texas",28637,44.3,22273,4312,1506,744,54303,28608,5220,842,13944,834,115600,48,067
"Castro County, Texas",7381,34.8,4899,106,4824,55,59886,25425,908,129,3024,841,96400,48,069
"Chambers County, Texas",47037,35.4,35262,3347,11860,649,106103,42628,6406,1784,17314,1339,279200,48,071
"Cherokee County, Texas",50824,38.2,35699,6678,12351,248,56971,26790,7847,1231,20909,883,138500,48,073
"Childress County, Texas",6781,32.6,4793,478,2533,6,56063,27466,802,270,2734,858,111100,48,075
